书名: 罗生门, 作品信息: [日] 芥川龙之介 / 林少华 / 上海译文出版社 / 2008-7 / 12.00元, 得分：8.7
书名: 送你一颗子弹, 作品信息: 刘瑜 / 上海三联书店 / 2010-1 / 25.00元, 得分：8.6
书名: 雷雨, 作品信息: 曹禺 / 人民文学出版社 / 1999-05 / 9.20, 得分：8.7
书名: 雨季不再来, 作品信息: 三毛 / 北京十月文艺出版社 / 2007-7 / 28.00元, 得分：8.8
书名: 最好的我们, 作品信息: 八月长安 / 湖南文艺出版社 / 2013-8-5 / 55, 得分：8.7
书名: 一千零一夜, 作品信息: 纳训 / 人民文学出版社 / 2003-01 / 22.00, 得分：8.8
书名: 帷幕, 作品信息: [英]阿加莎·克里斯蒂 / 李杨 / 新星出版社 / 2015-2 / 26.00, 得分：9.1
书名: 九州·缥缈录, 作品信息: 江南 / 新世界出版社 / 2005-6 / 20.00元, 得分：8.8
书名: 从零开始的女性主义, 作品信息: [日本] 上野千鹤子 / 吕灵芝 / 北京联合出版公司 / 2021-9 / 52.00元, 得分：8.7
书名: 孙子兵法, 作品信息: 孙武 / 郭化若 / 上海古籍出版社 / 2006-7 / 20.00元, 得分：9.4
书名: 孩子你慢慢来, 作品信息: 龙应台 / 生活·读书·新知三联书店 / 2009-12-1 / 28.00元, 得分：8.7
书名: 水浒传（全二册）, 作品信息: [明] 施耐庵 / 人民文学出版社 / 1997-1 / 50.60元, 得分：8.7
书名: 浮生六记, 作品信息: （清）沈复 / 人民文学出版社 / 1999-1 / 38, 得分：8.7
